TimeStamp,Origin,Trip,Destination,ScheduledTime,Lateness,Track,Status
1470078520,"North Station","211","Haverhill",1470078900,0,"4","On Time"
1470078520,"North Station","165","Newburyport",1470078900,0,"2","Now Boarding"
1470078520,"North Station","415","Fitchburg",1470079800,0,,"On Time"
1470078520,"North Station","113","Rockport",1470080220,0,,"On Time"
1470078520,"North Station","325","Lowell",1470080400,0,,"On Time"
1470078520,"North Station","291","Reading",1470081000,0,,"On Time"
1470078520,"North Station","493","Littleton / Rte 495",1470081540,0,,"On Time"
1470078520,"North Station","327","Lowell",1470082200,0,,"On Time"
1470078520,"North Station","115","Rockport",1470082500,0,,"On Time"
1470078520,"North Station","393","Anderson/ Woburn",1470082800,0,,"On Time"
1470078520,"North Station","417","Fitchburg",1470083400,0,,"On Time"
1470078520,"North Station","213","Haverhill",1470083400,0,,"On Time"
1470078520,"North Station","167","Newburyport",1470083400,0,,"On Time"
1470078520,"North Station","193","Beverly",1470084000,0,,"On Time"
1470078520,"North Station","329","Lowell",1470084300,0,,"On Time"
1470078520,"North Station","293","Reading",1470084480,0,,"On Time"
1470078520,"North Station","419","Fitchburg",1470085200,0,,"On Time"
1470078520,"North Station","117","Rockport",1470085200,0,,"On Time"
1470078520,"North Station","331","Lowell",1470085800,0,,"On Time"
1470078520,"South Station","817","Wickford Junction",1470079500,0,,"On Time"
1470078520,"South Station","771","Readville",1470079800,0,,"On Time"
1470078520,"South Station","517","Worcester / Union Station",1470079800,0,,"On Time"
1470078520,"South Station","913","Stoughton",1470080100,0,,"On Time"
1470078520,"South Station","589","Framingham",1470080400,0,,"On Time"
1470078520,"South Station","017","Middleboro/ Lakeville",1470080580,0,,"On Time"
1470078520,"South Station","715","Forge Park / 495",1470081000,0,,"On Time"
1470078520,"South Station","819","Providence",1470081300,0,,"On Time"
1470078520,"South Station","081","Greenbush",1470081720,0,,"On Time"
1470078520,"South Station","615","Needham Heights",1470081900,0,,"On Time"
1470078520,"South Station","773","Readville",1470082500,0,,"On Time"
1470078520,"South Station","743","Norwood Central",1470082500,0,,"On Time"
1470078520,"South Station","915","Stoughton",1470082800,0,,"On Time"
1470078520,"South Station","043","Kingston",1470082800,0,,"On Time"
1470078520,"South Station","519","Worcester / Union Station",1470083100,0,,"On Time"
1470078520,"South Station","821","Wickford Junction",1470083400,0,,"On Time"
1470078520,"South Station","591","Framingham",1470083700,0,,"On Time"
